Observed,Trend,Ssnl12,Ssnl14,Residual
315.71,314.9278295989348,0.8208848672123971,-0.04800594974604402,0.009291483598815375
317.45,314.99635166078804,2.0058503141257322,0.290295750835301,0.15750227425093044
317.5,315.06456929684697,2.7298843056193993,-0.21383453618191658,-0.08061906628444149
315.68,315.13238609222276,1.7521391733209162,-0.7081793772462835,-0.49634588829741233
315.86,315.1997603163413,0.8505216620357584,-0.13059593825427934,-0.059686040122812756
314.93,315.266843839592,-0.675044393712494,-0.0002439282430226101,0.33844448236351354
313.2,315.3338837971992,-2.401637588301264,0.25714712718326826,0.010606663918792947
313.27,315.4011028024851,-2.6048870880465116,0.2115794352801381,0.26220485028119356
313.33,315.4687458488197,-1.9472520059538465,-0.08710881209187522,-0.10438503077403993
314.67,315.53705064072,-0.8872359900597624,-0.07119194400991713,0.09137729334969436
315.62,315.6063396814933,-0.15775887408077255,0.08299962299453921,0.08841956959298614
316.38,315.6769380278109,0.41662360673336796,0.09908723213191666,0.1873511333238298
316.71,315.74820056316696,0.9015167386374598,0.138404298709781,-0.07812160051418005
317.72,315.81906444329786,2.059954034030593,0.14623191701549432,-0.30525039434388646
318.29,315.8878456559065,2.7569899428425457,-0.055565983465234,-0.29926961528383345
318.15,315.9558373612207,1.8705243498418334,0.24818292502207012,0.07545536391535279
316.54,316.02710350654536,0.8663571571766348,-0.1965745905350821,-0.15688607318691083
314.8,316.10506658173193,-0.7891475694784436,-0.6164813472562843,0.10056233500279177
313.84,316.19018908118625,-2.4857758516114945,-0.10296549691088197,0.2385522673361038
313.26,316.2797629323396,-2.708157784173014,-0.005982307169510191,-0.3056228409971027
314.8,316.37025847807894,-1.9466648320860835,0.23698125341046875,0.13942510059666802
315.58,316.45969199157224,-0.915903949241795,0.19151231303015884,-0.15530035536062314
316.43,316.54583224215827,-0.14037164795585497,-0.0713491680903363,0.09588857388797578
316.97,316.6263420775337,0.4423601976612671,-0.06768607046362154,-0.031016204731372454
317.58,316.69862562653236,0.9790415359389727,0.06868945028055523,-0.1663566127518834
319.02,316.7625208963809,2.113592219275353,0.08985264125280641,0.05403424309088223
320.03,316.82104089592224,2.7758385379712096,0.1272846759409736,0.3058358901655538
319.59,316.8774794227441,1.9796112844333131,0.12567831968513207,0.6072309731374617
318.18,316.9341356629355,0.8808402334852944,-0.06455522729313097,0.42957933087234323
315.91,316.9916311996157,-0.8951999030834189,0.20678374764364754,-0.3932150441759177
314.16,317.0484260754798,-2.5647471818419683,-0.18235305577236988,-0.14132583786545183
313.83,317.1028326880882,-2.809144665302833,-0.5292092924206913,0.06552126963532601
315.0,317.1544654068936,-1.9448759272655272,-0.07513870425118441,-0.1344507753769335
316.19,317.2042607217852,-0.9444853428347145,-0.010847720277336726,-0.05892765867315575
316.93,317.2547738447237,-0.12358298761180593,0.21604143371404552,-0.4172322908258934
317.7,317.3088328884472,0.46987337742358354,0.17097582643100712,-0.24968209230183902
318.54,317.36875532571986,1.0527383593357102,-0.056024925170114065,0.17453124011456111
319.48,317.43628679582275,2.16619254914757,-0.0637017294096505,-0.058777615560643426
320.58,317.5116429387972,2.7899809545547996,0.05626691672364798,0.22210918992436746
319.77,317.5924460818335,2.0854886216022868,0.08347047564648052,0.00859482091772179
318.57,317.67441224714537,0.8975353329589014,0.11863121066976046,-0.12057879077406142
316.79,317.7546843610051,-0.9976848899722186,0.10635846227680996,-0.07335793330969409
314.8,317.8332457786717,-2.641344501516764,-0.07427879538846487,-0.31762248176647745
315.38,317.90978267872987,-2.9078677091551715,0.16543552792068253,0.21264950250463244
316.1,317.9839964609993,-1.9413698675260123,-0.17045028184595143,0.2278236883726663
317.01,318.0549694115725,-0.9716642524805864,-0.4451955141293234,0.37189035503740797
317.94,318.1224326471897,-0.11099507242373674,-0.047878585208523235,-0.02355898955744351
318.56,318.1870543155528,0.4953890396007888,-0.015091560353026758,-0.10735179480059287
319.68,318.25001428085693,1.1248142762240825,0.19383952456443182,0.11133191835455136
320.63,318.3111850176087,2.2190963197806455,0.14919501560445977,-0.049476352993792716
321.01,318.36961833728515,2.8035371949391,-0.04145645370787497,-0.12169907851637163
320.55,318.42498270115976,2.1871239762449837,-0.059397428007353946,-0.00270924939741235
319.58,318.47842299905227,0.9170838217337403,0.04638980788268965,0.13810337133128314
317.4,318.5312073431381,-1.098127377484706,0.07925906580748662,-0.11233903146086277
316.26,318.58378869043446,-2.7189146532412463,0.1121727906574665,0.2829531721493481
315.42,318.6365807240036,-3.0023843804932917,0.08773646419920386,-0.30193280770947695
316.69,318.68822000779795,-1.9353757786020662,-0.08456623274978525,0.021722003553918512
317.69,318.73684160997374,-0.9932932894830458,0.12438837851232734,-0.17793669900299847
318.74,318.780963732954,-0.10113406186022349,-0.1593009155023323,0.21947124440862353
319.08,318.82182281035153,0.5185027035472509,-0.3635845324965424,0.10325901859772557
319.86,318.8624743153194,1.2006920729029011,-0.022060381067178655,-0.18110600715505143
321.39,318.90535972625804,2.2851780569568754,-0.01835108240087279,0.21781329918599113
322.25,318.9526966455854,2.8096780724780728,0.17090665608380598,0.3167186258527863
321.47,319.00471191079055,2.2459361398871556,0.1263331854856277,0.09301876383671015
319.74,319.0594685005795,0.9313140604314222,-0.028730007678667027,-0.22205255333221885
317.77,319.1143352137566,-1.172598922500704,-0.05475952513170602,-0.11697676612419627
316.21,319.1668702856748,-2.7879948008634097,0.03912616755725725,-0.20800165236863677
315.99,319.2156472422749,-3.0806255022612805,0.07620117649677143,-0.22122291651038495
